degree0, degree1, degree2, degree3, no_definition, naive, user_id, hit, age, gender, country, befuddle_def_in_trained, befuddle_def_in_untrained, befuddle_level, befuddle_trained, befuddle_untrained, besmirch_def_in_trained, besmirch_def_in_untrained, besmirch_level, besmirch_trained, besmirch_untrained, carom_def_in_trained, carom_def_in_untrained, carom_level, carom_trained, carom_untrained, debauch_def_in_trained, debauch_def_in_untrained, debauch_level, debauch_trained, debauch_untrained, exfoliate_def_in_trained, exfoliate_def_in_untrained, exfoliate_level, exfoliate_trained, exfoliate_untrained, picket_def_in_trained, picket_def_in_untrained, picket_level, picket_trained, picket_untrained, scotch_def_in_trained, scotch_def_in_untrained, scotch_level, scotch_trained, scotch_untrained, shew_def_in_trained, shew_def_in_untrained, shew_level, shew_trained, shew_untrained, slaver_def_in_trained, slaver_def_in_untrained, slaver_level, slaver_trained, slaver_untrained, twiddle_def_in_trained, twiddle_def_in_untrained, twiddle_level, twiddle_trained, twiddle_untrained
5, 0, 4, 1, 2, 1.8, A3Q4703VJQU49H, 3AQN9REUTFG9ULJ8CQANOVPQ34KDYB, 24, Male, United States, 1.0, 2.0, 2, 1, 2, 2.0, 3.0, 1, 0, 0, 0.6, 0.8, 4, 0, 2, , , 0, 2, 1, , , 0, 3, 1, 3.0, 3.0, 3, 1, 0, 0.875, 0.75, 1, 0, 0, 1.0, 0.0, 3, 0, 1, , , 4, 2, 0, 3.0, 1.0, 2, 3, 2
3, 6, 4, 4, 2, 2.0, A1GILJ1A4SXO76, 31J7RYECZLQV2RWXDI12TLML5SE1LI, 20, Male, United States, 1.0, 3.0, 2, 2, 1, , , 0, 3, 2, 0.0, 1.0, 2, 2, 0, , , 4, 1, 2, 1.5, 2.0, 1, 3, 2, , , 0, 0, 1, 3.0, 2.0, 3, 2, 0, 0.5, 0.0, 4, 1, 0, 2.75, 2.25, 3, 2, 0, 3.0, 1.0, 1, 3, 2
0, 5, 5, 4, 1, 3.2, A2CSV75E3JT58Y, 37MQ8Z1JQEWMRBLSF1Q6SCYM6DV2YR, 46, Male, United States, 0.0, 1.0, 1, 2, 2, 2.0, 3.0, 1, 3, 1, 0.6, 0.8, 3, 1, 3, , , 4, 1, 2, 3.0, 3.0, 3, 3, 2, 1.0, 0.0, 2, 3, 1, 3.0, 3.0, 2, 2, 3, , , 0, 0, 1, , , 4, 0, 0, , , 0, 0, 1
2, 2, 2, 3, 0, 1.8, A24HWYMVL94LNW, 3WRKFXQBOB7Q2WZU44BYFS53V9SIYI, 18, Female, United States, 0.0, 1.0, 1, 0, 1, 2.0, 3.0, 1, 2, 1, 3.0, 1.0, 3, 1, 0, , , 4, 0, 1, 3.0, 3.0, 3, 2, 2, 0.0, 1.0, 2, 2, 1, 0.0, 1.0, 2, 0, 1, , , 0, 0, 1, , , 4, 0, 0, , , 0, 2, 1
3, 2, 4, 0, 0, 2.0, A2KFZ958P68541, 3CESM1J3EI36K79TN2KLXSUIBAXW63, 23, Male, United States, 3.0, 3.0, 2, 3, 1, 2.0, 3.0, 1, 1, 1, , , 4, 0, 1, , , 0, 2, 2, , , 0, 1, 2, 3.0, 1.0, 3, 0, 0, 0.875, 0.75, 1, 1, 1, 3.0, 3.0, 3, 0, 0, , , 4, 0, 1, 3.0, 0.0, 2, 1, 1
6, 4, 6, 6, 3, 5.2, A1M1TSMJB12177, 3W0XM68YZPVKILEFSIP1EL96GS91KF, 56, Male, United States, 1.0, 2.0, 2, 3, 2, 2.0, 3.0, 1, 2, 3, , , 4, 3, 3, , , 0, 3, 3, , , 0, 3, 3, 2.0, 3.0, 3, 3, 3, 0.875, 0.75, 1, 2, 3, 0.0, 1.0, 3, 3, 3, , , 4, 0, 0, 1.6, 2.0, 2, 3, 3
5, 5, 6, 3, 5, 3.8, A2G6074KBB11TH, 3SX4X51T809Z20CUMTANW3JI4ROOA9, 36, Male, United States, 1.0, 0.0, 2, 3, 3, , , 0, 3, 2, 3.0, 3.0, 2, 3, 3, , , 4, 2, 2, 1.5, 2.0, 1, 3, 3, , , 0, 2, 3, 2.0, 2.0, 3, 0, 1, 1.5, 1.5, 4, 3, 0, 3.0, 3.0, 3, 3, 1, 3.0, 1.0, 1, 2, 1
2, 3, 3, 3, 3, 3.2, A31LPSIQ9A7RWV, 3P888QFVX3URPGJBBP79M3YN89AQOI, 34, Female, United States, 0.0, 1.0, 1, 2, 2, 2.0, 3.0, 1, 1, 2, 1.0, 1.5, 3, 0, 2, , , 4, 2, 2, 2.0, 3.0, 3, 3, 3, 3.0, 3.0, 2, 3, 0, , , 2, 0, 0, , , 0, 0, 0, , , 4, 1, 2, , , 0, 2, 3
5, 6, 3, 0, 1, 3.4, A264MSYTI4S2MF, 3J9UN9O9J3SP0CNFEELPZ1QJWB2J0U, 60, Female, Philippines, 3.0, 3.0, 2, 2, 3, , , 0, 2, 3, 0.0, 1.0, 2, 1, 1, , , 4, 1, 1, 1.5, 2.0, 1, 3, 3, , , 0, 3, 3, 1.5, 1.5, 3, 0, 0, , , 4, 0, 0, 2.75, 2.25, 3, 0, 0, 3.0, 1.0, 1, 3, 3
5, 2, 5, 1, 5, 2.4, AT1A6PD6V13UB, 3R6RZGK0XFCVO2JU3BAHUHVX3BOYVV, 30, Female, United States, 3.0, 2.75, 2, 2, 2, 2.0, 3.0, 1, 2, 2, , , 4, 2, 2, , , 0, 2, 1, , , 0, 3, 1, 3.0, 1.0, 3, 0, 0, 0.875, 0.75, 1, 0, 1, 3.0, 0.0, 3, 1, 0, , , 4, 3, 1, 3.0, 0.0, 2, 3, 2
6, 4, 2, 3, 2, 5.0, A254LRAUTHSPPA, 3Z33IC0JC0MGN1BMVZI1V026U249VI, 40, Female, India, 1.9, 2.3, 2, 2, 3, , , 0, 3, 3, 1.0, 2.0, 2, 0, 3, , , 4, 1, 3, 1.5, 2.0, 1, 3, 3, , , 0, 3, 3, 1.0, 0.0, 3, 0, 3, 1.25, 1.0, 4, 1, 0, 3.0, 3.0, 3, 3, 3, 3.0, 1.0, 1, 1, 1
3, 5, 4, 4, 3, 4.4, A3RJF3M0VJB8XW, 3P888QFVX3URPGJBBP79M3YN89AQOI, 46, Male, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 2, 2, 1.0, 1.5, 3, 2, 1, , , 4, 2, 2, 2.0, 3.0, 3, 2, 3, 3.0, 3.0, 2, 3, 0, , , 2, 1, 2, , , 0, 1, 3, , , 4, 1, 3, , , 0, 2, 3
1, 0, 3, 1, 0, 1.4, A3SYJI9WCY9MGA, 3J9UN9O9J3SP0CNFEELPZ1QJWB2J0U, 21, Female, United States, 3.0, 3.0, 2, 1, 0, , , 0, 0, 1, 0.0, 1.0, 2, 2, 1, , , 4, 0, 1, 1.5, 2.0, 1, 0, 1, , , 0, 1, 1, 1.5, 1.5, 3, 0, 2, , , 4, 0, 0, 2.75, 2.25, 3, 1, 0, 3.0, 1.0, 1, 0, 0
4, 3, 6, 0, 2, 2.2, A14WLAP6TCEKO0, 36KM3FWE3RCWGHMDD5WSWBLA5G370C, 30, Male, United States, 1.0, 2.0, 2, 3, 2, 2.0, 3.0, 1, 2, 0, 0.6, 0.8, 4, 1, 1, , , 0, 1, 3, , , 0, 3, 1, 1.0, 1.0, 3, 0, 0, 0.875, 0.75, 1, 1, 1, 3.0, 3.0, 3, 0, 1, , , 4, 1, 2, 3.0, 0.0, 2, 3, 0
6, 5, 6, 4, 6, 4.2, A2S6QOCFC3EAYH, 3EHVO81VN5LTGVD7MXM41TTEOB5H1R, 48, Male, United States, 1.0, 3.0, 2, 3, 3, , , 0, 3, 2, 1.0, 0.0, 2, 3, 3, 1.0, 0.5, 4, 3, 1, 1.5, 2.0, 1, 2, 3, , , 0, 3, 2, 2.0, 0.0, 3, 1, 2, 1.5, 1.5, 4, 3, 3, 3.0, 1.0, 3, 3, 2, 3.0, 1.0, 1, 3, 0
1, 3, 4, 4, 2, 2.8, ABAJS958GH71X, 3E9ZFLPWOYS12R9KZ8PWWEYUT3YIXC, 43, Male, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 0, 1, 1.0, 3.0, 3, 1, 0, 3.0, 1.0, 4, 2, 3, 1.25, 1.0, 3, 3, 3, 0.0, 1.0, 2, 3, 0, 0.0, 1.0, 2, 1, 1, , , 0, 0, 0, , , 4, 0, 0, , , 0, 1, 3
6, 2, 5, 4, 3, 3.6, AD8DTHGGFIIRC, 3VDI8GSXAFTXRZ2H1CD1V34LNHXG8A, 26, Male, United States, 1.9, 2.3, 2, 3, 0, 2.0, 3.0, 1, 0, 1, , , 4, 0, 1, , , 0, 3, 3, , , 0, 3, 3, 0.0, 2.0, 3, 1, 1, 0.875, 0.75, 1, 2, 3, 3.0, 3.0, 3, 3, 2, , , 4, 3, 2, 3.0, 0.0, 2, 2, 2
1, 5, 5, 4, 3, 3.2, A26OAMKMWZDZC2, 3UXQ63NLAAMWFPEPFFURZXZUR44LBK, 58, Female, United States, 0.0, 1.0, 1, 3, 2, 2.0, 3.0, 1, 2, 2, 0.6, 0.8, 3, 1, 1, , , 4, 3, 1, 2.0, 2.0, 3, 3, 2, 3.0, 3.0, 2, 3, 0, 0.0, 1.0, 2, 2, 3, , , 0, 0, 0, , , 4, 0, 2, , , 0, 1, 3
6, 6, 3, 5, 2, 4.8, A4VOL1ESGAZSL, 3DWNFENNE3V6Z05GXF8RB4GWDNJ4JW, 24, Female, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 3, 3, 1.0, 1.5, 3, 2, 1, , , 4, 0, 3, 2.0, 3.0, 3, 3, 3, 3.0, 3.0, 2, 3, 1, 0.0, 0.0, 2, 0, 2, , , 0, 3, 2, , , 4, 2, 3, , , 0, 3, 3
5, 4, 6, 6, 4, 5.0, A372F1FDPWXBY3, 3VDI8GSXAFTXRZ2H1CD1V34LNHXG8A, 32, Female, United States, 1.9, 2.3, 2, 3, 1, 2.0, 3.0, 1, 2, 3, , , 4, 1, 2, , , 0, 3, 3, , , 0, 2, 3, 0.0, 2.0, 3, 3, 3, 0.875, 0.75, 1, 2, 3, 3.0, 3.0, 3, 3, 1, , , 4, 3, 3, 3.0, 0.0, 2, 3, 3
6, 5, 1, 5, 2, 5.8, A16R3XWVWW30TL, 3YZ7A3YHR5THUMS6YE0F8XDX92Q5SH, 46, Female, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 2, 3, 3.0, 1.0, 3, 2, 3, , , 4, 2, 2, 3.0, 3.0, 3, 3, 3, 0.0, 0.0, 2, 1, 3, 3.0, 3.0, 2, 0, 3, , , 0, 3, 3, , , 4, 0, 3, , , 0, 3, 3
3, 2, 4, 3, 3, 2.4, AZZ2WNZ181LSN, 3YZ7A3YHR5THUMS6YE0F8XDX92Q5SH, 28, Male, United States, 0.0, 1.0, 1, 2, 1, 2.0, 3.0, 1, 0, 2, 3.0, 1.0, 3, 0, 0, , , 4, 3, 2, 3.0, 3.0, 3, 3, 2, 0.0, 0.0, 2, 2, 0, 3.0, 3.0, 2, 2, 0, , , 0, 0, 1, , , 4, 0, 2, , , 0, 3, 2
5, 1, 2, 0, 1, 3.0, A2F2SGCYJC627S, 3CESM1J3EI36K79TN2KLXSUIBAXW63, 25, Male, United States, 3.0, 3.0, 2, 0, 0, 2.0, 3.0, 1, 0, 0, , , 4, 0, 2, , , 0, 2, 1, , , 0, 3, 3, 3.0, 1.0, 3, 0, 1, 0.875, 0.75, 1, 1, 2, 3.0, 3.0, 3, 0, 1, , , 4, 1, 2, 3.0, 0.0, 2, 2, 3
6, 3, 3, 2, 0, 3.4, A9SS8URBMG7S8, 3R6RZGK0XFCVO2JU3BAHUHVX3BOYVV, 26, Male, United States, 3.0, 2.75, 2, 2, 3, 2.0, 3.0, 1, 3, 3, , , 4, 0, 1, , , 0, 3, 2, , , 0, 3, 2, 3.0, 1.0, 3, 1, 1, 0.875, 0.75, 1, 0, 2, 3.0, 0.0, 3, 1, 1, , , 4, 0, 1, 3.0, 0.0, 2, 1, 1
5, 6, 4, 1, 5, 3.4, A2HR7ZIX42FEPG, 31S7M7DAGGQWBB86F1LCZR5GXB4TLI, 27, Female, United States, 0.0, 1.0, 2, 3, 2, , , 0, 3, 3, 1.0, 2.0, 2, 1, 2, , , 4, 2, 2, 1.5, 2.0, 1, 3, 2, , , 0, 2, 0, 3.0, 2.0, 3, 1, 1, , , 4, 3, 0, 0.0, 0.0, 3, 0, 3, 3.0, 1.0, 1, 3, 2
4, 4, 4, 6, 2, 3.0, AN0SFA4IEZO2B, 37MQ8Z1JQEWMRBLSF1Q6SCYM6DV2YR, 48, Male, United States, 0.0, 1.0, 1, 2, 3, 2.0, 3.0, 1, 2, 1, 0.6, 0.8, 3, 3, 3, , , 4, 2, 1, 3.0, 3.0, 3, 3, 0, 1.0, 0.0, 2, 2, 1, 3.0, 3.0, 2, 2, 1, , , 0, 1, 1, , , 4, 0, 2, , , 0, 3, 2
4, 3, 6, 5, 5, 5.0, ARSXA2ZPDMVVL, 36KM3FWE3RCWGHMDD5WSWBLA5G370C, 66, Male, United States, 1.0, 2.0, 2, 3, 1, 2.0, 3.0, 1, 2, 2, 0.6, 0.8, 4, 2, 3, , , 0, 1, 2, , , 0, 3, 3, 1.0, 1.0, 3, 2, 2, 0.875, 0.75, 1, 1, 3, 3.0, 3.0, 3, 3, 3, , , 4, 3, 3, 3.0, 0.0, 2, 3, 3
4, 1, 3, 3, 2, 3.6, AY7FGWNGBUERU, 3OJX0UFJ0Z7GAMMMQ98WZE0NGVV9UT, 34, Female, United States, 1.0, 3.0, 2, 2, 2, 2.0, 3.0, 1, 1, 1, 0.6, 0.8, 4, 0, 3, , , 0, 2, 3, , , 0, 2, 3, 3.0, 1.0, 3, 2, 1, 0.875, 0.75, 1, 0, 1, 3.0, 3.0, 3, 1, 0, , , 4, 2, 1, 2.0, 2.0, 2, 1, 3
2, 5, 1, 2, 3, 3.4, A14J86Y1L3RCQ0, 3NSM4HLQNRUUASWRQ2ZDB8TNNASQQQ, 36, Male, India, 3.0, 3.0, 2, 1, 1, 2.0, 3.0, 1, 3, 2, , , 4, 1, 3, , , 0, 1, 0, , , 0, 1, 2, 1.0, 1.0, 3, 1, 3, 0.875, 0.75, 1, 2, 1, 2.0, 3.0, 3, 1, 1, , , 4, 2, 3, 3.0, 0.0, 2, 0, 1
6, 3, 3, 4, 1, 3.6, A2SYRFPPV9WDEG, 3P7QK0GJ3TLMW1VXBNSP6J7OC7Z2ZI, 33, Male, United States, 1.0, 2.0, 2, 2, 1, 2.0, 3.0, 1, 2, 3, , , 4, 0, 0, , , 0, 3, 3, , , 0, 3, 3, 3.0, 1.0, 3, 3, 1, 0.875, 0.75, 1, 1, 2, 3.0, 3.0, 3, 1, 0, , , 4, 1, 2, 3.0, 1.0, 2, 1, 3
3, 3, 1, 2, 1, 2.2, A2Z5XEQNW13NUJ, 3566S7OX5DJWN67V9O0SAG4KA8971F, 24, Male, United States, 1.0, 3.0, 2, 1, 2, , , 0, 0, 2, 3.0, 1.0, 2, 0, 2, 1.0, 0.5, 4, 1, 0, 1.5, 2.0, 1, 1, 2, , , 0, 3, 1, 1.0, 0.0, 3, 1, 0, 1.25, 1.0, 4, 0, 1, 1.0, 1.0, 3, 1, 0, 3.0, 1.0, 1, 2, 1
6, 6, 4, 3, 5, 5.2, AQBGJOFFMD171, 3EHVO81VN5LTGVD7MXM41TTEOB5H1R, 37, Male, United States, 1.0, 3.0, 2, 3, 3, , , 0, 3, 3, 1.0, 0.0, 2, 1, 3, 1.0, 0.5, 4, 2, 2, 1.5, 2.0, 1, 3, 3, , , 0, 3, 3, 2.0, 0.0, 3, 0, 2, 1.5, 1.5, 4, 3, 2, 3.0, 1.0, 3, 3, 3, 3.0, 1.0, 1, 3, 2
4, 4, 4, 1, 2, 2.6, A3ETFOPOBSWU2Z, 3IVEC1GSLPZP718XAXPPD69T138J1X, 25, Male, United States, 1.0, 0.0, 2, 3, 2, , , 0, 2, 2, 1.0, 2.0, 2, 1, 3, , , 4, 2, 2, 1.5, 2.0, 1, 3, 2, , , 0, 2, 0, 1.0, 0.0, 3, 1, 0, 0.5, 0.0, 4, 0, 0, 1.0, 1.0, 3, 0, 2, 3.0, 1.0, 1, 1, 0
6, 3, 5, 6, 2, 4.6, ARVSVYBL46LC9, 3WRKFXQBOB7Q2WZU44BYFS53V9SIYI, 58, Female, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 0, 2, 3.0, 1.0, 3, 3, 2, , , 4, 2, 3, 3.0, 3.0, 3, 3, 3, 0.0, 1.0, 2, 3, 1, 0.0, 1.0, 2, 2, 3, , , 0, 3, 0, , , 4, 0, 3, , , 0, 3, 3
5, 3, 5, 5, 3, 4.2, A2M3KQ9CKP7YW, 3NSM4HLQNRUUASWRQ2ZDB8TNNASQQQ, 53, Male, United States, 3.0, 3.0, 2, 2, 1, 2.0, 3.0, 1, 2, 3, , , 4, 3, 3, , , 0, 2, 3, , , 0, 3, 3, 1.0, 1.0, 3, 3, 3, 0.875, 0.75, 1, 1, 2, 2.0, 3.0, 3, 2, 0, , , 4, 0, 0, 3.0, 0.0, 2, 3, 3
5, 4, 3, 3, 2, 1.8, A1QP158FG5AR1N, 3WRKFXQBOB7Q2WZU44BYFS53V9SIYI, 27, Female, United States, 0.0, 1.0, 1, 2, 0, 2.0, 3.0, 1, 2, 1, 3.0, 1.0, 3, 0, 0, , , 4, 0, 0, 3.0, 3.0, 3, 3, 3, 0.0, 1.0, 2, 3, 1, 0.0, 1.0, 2, 0, 0, , , 0, 2, 0, , , 4, 2, 1, , , 0, 3, 3
4, 4, 3, 4, 1, 2.4, A1KN7VCT7HK8A8, 3E9ZFLPWOYS12R9KZ8PWWEYUT3YIXC, 41, Female, United States, 0.0, 1.0, 1, 2, 2, 2.0, 3.0, 1, 2, 2, 1.0, 3.0, 3, 1, 0, 3.0, 1.0, 4, 1, 2, 1.25, 1.0, 3, 3, 2, 0.0, 1.0, 2, 3, 1, 0.0, 1.0, 2, 0, 1, , , 0, 2, 0, , , 4, 0, 0, , , 0, 2, 2
6, 1, 5, 4, 2, 3.6, AGDJB8B8CDZ71, 3OJX0UFJ0Z7GAMMMQ98WZE0NGVV9UT, 31, Male, United States, 1.0, 3.0, 2, 2, 3, 2.0, 3.0, 1, 1, 1, 0.6, 0.8, 4, 1, 2, , , 0, 3, 3, , , 0, 3, 3, 3.0, 1.0, 3, 3, 2, 0.875, 0.75, 1, 0, 1, 3.0, 3.0, 3, 1, 0, , , 4, 1, 0, 2.0, 2.0, 2, 3, 3
4, 6, 5, 3, 5, 2.6, A38B9WL5QNLU5Q, 3R16PJFTS3R1AKBYF083CJG9SCJ4KV, 25, Female, United States, 1.9, 2.3, 2, 3, 2, , , 0, 2, 1, 3.0, 3.0, 2, 2, 0, , , 4, 2, 2, 1.5, 2.0, 1, 3, 3, , , 0, 2, 1, 2.0, 0.0, 3, 0, 1, 1.5, 1.5, 4, 3, 0, 0.0, 0.0, 3, 3, 0, 3.0, 1.0, 1, 3, 3
4, 4, 4, 3, 2, 2.6, AJPLNQSDWH2UN, 335VBRURDJ0ZLQP009TRVWEKU71E9H, 42, Male, United States, 0.0, 1.0, 1, 2, 2, 2.0, 3.0, 1, 2, 1, 0.6, 0.8, 3, 0, 1, , , 4, 2, 3, 3.0, 3.0, 3, 3, 3, 0.0, 0.0, 2, 3, 0, 0.0, 2.0, 2, 1, 0, , , 0, 3, 1, , , 4, 0, 0, , , 0, 1, 2
4, 6, 1, 4, 3, 2.2, A3ML206IHFCZYG, 3R16PJFTS3R1AKBYF083CJG9SCJ4KV, 26, Male, United States, 1.9, 2.3, 2, 1, 2, , , 0, 3, 3, 3.0, 3.0, 2, 0, 0, , , 4, 0, 1, 1.5, 2.0, 1, 3, 1, , , 0, 1, 2, 2.0, 0.0, 3, 1, 1, 1.5, 1.5, 4, 3, 0, 0.0, 0.0, 3, 3, 0, 3.0, 1.0, 1, 3, 1
6, 5, 3, 4, 3, 4.0, A30BNQNHW6UJO8, 37MQ8Z1JQEWMRBLSF1Q6SCYM6DV2YR, 37, Female, United States, 0.0, 1.0, 1, 3, 2, 2.0, 3.0, 1, 2, 2, 0.6, 0.8, 3, 1, 1, , , 4, 0, 3, 3.0, 3.0, 3, 3, 3, 1.0, 0.0, 2, 3, 0, 3.0, 3.0, 2, 0, 2, , , 0, 3, 1, , , 4, 3, 3, , , 0, 3, 3
3, 1, 0, 2, 1, 1.6, A3UUROFE6BGFCG, 3YZ7A3YHR5THUMS6YE0F8XDX92Q5SH, 23, Male, United States, 0.0, 1.0, 1, 0, 0, 2.0, 3.0, 1, 1, 0, 3.0, 1.0, 3, 2, 1, , , 4, 1, 1, 3.0, 3.0, 3, 0, 1, 0.0, 0.0, 2, 0, 0, 3.0, 3.0, 2, 0, 1, , , 0, 0, 1, , , 4, 0, 1, , , 0, 3, 2
6, 4, 4, 6, 5, 4.4, A2SSBGQOXQCGLW, 36KM3FWE3RCWGHMDD5WSWBLA5G370C, 18, Male, United States, 1.0, 2.0, 2, 2, 1, 2.0, 3.0, 1, 3, 3, 0.6, 0.8, 4, 3, 2, , , 0, 3, 3, , , 0, 3, 2, 1.0, 1.0, 3, 3, 3, 0.875, 0.75, 1, 1, 1, 3.0, 3.0, 3, 3, 1, , , 4, 2, 3, 3.0, 0.0, 2, 2, 3
4, 6, 6, 4, 2, 2.8, A2H76HU5L6QFDF, 3S4TINXCC0N4LAHMS7AJRE3OM99OB4, 48, Female, United States, 1.0, 2.0, 2, 3, 3, , , 0, 3, 1, 3.0, 3.0, 2, 3, 2, , , 4, 2, 1, 1.5, 2.0, 1, 3, 3, , , 0, 1, 0, 3.0, 1.0, 3, 1, 0, 0.5, 0.0, 4, 0, 0, 2.75, 2.25, 3, 3, 1, 3.0, 1.0, 1, 3, 3
1, 2, 2, 2, 3, 2.4, A3K3QML8ETRIJL, 3Z33IC0JC0MGN1BMVZI1V026U249VI, 24, Female, India, 1.9, 2.3, 2, 1, 0, , , 0, 0, 1, 1.0, 2.0, 2, 1, 2, , , 4, 1, 1, 1.5, 2.0, 1, 0, 0, , , 0, 1, 2, 1.0, 0.0, 3, 1, 1, 1.25, 1.0, 4, 2, 1, 3.0, 3.0, 3, 1, 2, 3.0, 1.0, 1, 2, 2
4, 3, 5, 4, 3, 2.4, A2CLRANDISLLT3, 3HEM8MA6H9C9AGVCQPKOB33DIE6QPZ, 45, Female, United States, 3.0, 2.75, 2, 2, 0, 2.0, 3.0, 1, 3, 0, 0.6, 0.8, 4, 1, 0, , , 0, 1, 2, , , 0, 3, 2, 1.0, 1.0, 3, 2, 2, 0.875, 0.75, 1, 0, 1, 0.75, 1.25, 3, 2, 0, , , 4, 2, 2, 2.0, 2.0, 2, 3, 3
3, 4, 3, 0, 3, 2.2, A24QX49QCFKLDH, 3IVEC1GSLPZP718XAXPPD69T138J1X, 29, Female, Croatia, 1.0, 0.0, 2, 3, 1, , , 0, 3, 3, 1.0, 2.0, 2, 0, 1, , , 4, 2, 1, 1.5, 2.0, 1, 1, 0, , , 0, 0, 1, 1.0, 0.0, 3, 0, 1, 0.5, 0.0, 4, 1, 0, 1.0, 1.0, 3, 0, 1, 3.0, 1.0, 1, 3, 2
1, 3, 1, 3, 3, 1.6, A34YPIHZ3OCPPS, 3OJX0UFJ0Z7GAMMMQ98WZE0NGVV9UT, 28, Male, United States, 1.0, 3.0, 2, 1, 1, 2.0, 3.0, 1, 2, 1, 0.6, 0.8, 4, 2, 0, , , 0, 1, 1, , , 0, 0, 1, 3.0, 1.0, 3, 2, 2, 0.875, 0.75, 1, 1, 1, 3.0, 3.0, 3, 1, 0, , , 4, 1, 0, 2.0, 2.0, 2, 0, 1
6, 6, 5, 4, 5, 3.6, A7G4JAR07S7DF, 3SX4X51T809Z20CUMTANW3JI4ROOA9, 48, Male, United States, 1.0, 0.0, 2, 3, 3, , , 0, 3, 3, 3.0, 3.0, 2, 2, 3, , , 4, 2, 1, 1.5, 2.0, 1, 3, 2, , , 0, 3, 2, 2.0, 2.0, 3, 1, 1, 1.5, 1.5, 4, 3, 0, 3.0, 3.0, 3, 3, 0, 3.0, 1.0, 1, 3, 3
4, 2, 5, 5, 5, 3.2, AOOBHH88DIGDG, 3W0XM68YZPVKILEFSIP1EL96GS91KF, 29, Female, United States, 1.0, 2.0, 2, 2, 2, 2.0, 3.0, 1, 2, 1, , , 4, 3, 2, , , 0, 1, 2, , , 0, 3, 2, 2.0, 3.0, 3, 3, 3, 0.875, 0.75, 1, 0, 1, 0.0, 1.0, 3, 2, 0, , , 4, 2, 0, 1.6, 2.0, 2, 3, 3
5, 3, 4, 4, 0, 4.4, A2RMUF9TK0Q4P2, 3DWNFENNE3V6Z05GXF8RB4GWDNJ4JW, 29, Female, United States, 0.0, 1.0, 1, 3, 3, 2.0, 3.0, 1, 0, 2, 1.0, 1.5, 3, 1, 2, , , 4, 0, 3, 2.0, 3.0, 3, 3, 3, 3.0, 3.0, 2, 3, 0, 0.0, 0.0, 2, 1, 2, , , 0, 3, 1, , , 4, 0, 3, , , 0, 2, 3
5, 2, 3, 0, 2, 3.4, AKDX1FIIZIKT2, 3HEM8MA6H9C9AGVCQPKOB33DIE6QPZ, 24, Female, United States, 3.0, 2.75, 2, 0, 3, 2.0, 3.0, 1, 1, 2, 0.6, 0.8, 4, 1, 2, , , 0, 3, 3, , , 0, 2, 2, 1.0, 1.0, 3, 0, 1, 0.875, 0.75, 1, 1, 0, 0.75, 1.25, 3, 0, 0, , , 4, 1, 2, 2.0, 2.0, 2, 3, 2

